Palavra,Documentos
estudo,"[(1, 3), (17, 1), (58, 1), (62, 1), (112, 1), (146, 1), (171, 1), (204, 5), (263, 1), (267, 1)]"
avaliou,"[(1, 1)]"
situação,"[(1, 2), (7, 1), (19, 1), (27, 1), (32, 2), (53, 1), (66, 1), (72, 1), (76, 1), (82, 1), (94, 1), (97, 1), (100, 1), (106, 2), (126, 1), (127, 1), (136, 1), (139, 1), (145, 1), (146, 6), (152, 2), (157, 1), (159, 1), (160, 4), (171, 1), (173, 1), (174, 2), (176, 1), (177, 2), (186, 1), (187, 2), (195, 1), (196, 1), (208, 1), (218, 1), (220, 2), (227, 1), (249, 3), (253, 1), (266, 3), (272, 1), (274, 4)]"
saúde,"[(1, 3), (22, 1), (30, 1), (32, 7), (55, 1), (62, 1), (63, 4), (66, 1), (68, 7), (72, 2), (91, 1), (103, 1), (161, 1), (179, 2), (184, 1), (192, 1), (193, 1), (195, 2), (216, 1), (218, 4), (219, 1), (226, 2), (231, 1), (248, 1), (257, 2), (258, 1), (262, 1), (265, 1)]"
país,"[(1, 4), (4, 3), (5, 1), (6, 4), (7, 3), (10, 1), (13, 1), (15, 3), (17, 2), (18, 3), (19, 2), (22, 2), (23, 1), (24, 7), (25, 3), (29, 2), (30, 5), (31, 1), (32, 4), (33, 1), (34, 1), (38, 3), (43, 1), (47, 1), (50, 1), (53, 3), (56, 2), (58, 1), (62, 1), (64, 1), (65, 1), (67, 1), (69, 1), (70, 1), (74, 2), (77, 4), (79, 1), (80, 1), (84, 1), (88, 1), (95, 6), (97, 1), (100, 2), (106, 1), (107, 1), (110, 1), (111, 1), (112, 1), (113, 7), (114, 1), (115, 1), (117, 2), (118, 4), (119, 4), (120, 2), (122, 1), (124, 1), (125, 1), (126, 2), (127, 3), (128, 2), (129, 4), (133, 1), (134, 3), (135, 4), (136, 8), (138, 4), (139, 1), (140, 7), (141, 2), (144, 1), (145, 5), (146, 13), (147, 2), (150, 4), (152, 7), (153, 5), (154, 5), (156, 5), (163, 3), (164, 2), (171, 1), (173, 1), (174, 4), (176, 1), (177, 1), (179, 1), (182, 1), (183, 1), (186, 1), (187, 4), (188, 3), (193, 2), (196, 4), (198, 2), (200, 1), (203, 1), (205, 7), (206, 1), (207, 1), (208, 2), (214, 1), (216, 7), (217, 8), (218, 11), (220, 2), (224, 2), (229, 1), (231, 2), (232, 1), (235, 4), (240, 1), (242, 1), (244, 4), (245, 10), (246, 5), (248, 1), (249, 1), (253, 1), (254, 10), (256, 1), (261, 3), (265, 3), (266, 2), (267, 3), (268, 1), (269, 7), (270, 1), (271, 1), (272, 1), (273, 3)]"
nicolás,"[(1, 1), (6, 1), (34, 1), (100, 1), (111, 1), (134, 1), (136, 5), (138, 1), (140, 3), (141, 2), (145, 3), (146, 3), (147, 1), (152, 1), (153, 3), (154, 3), (261, 1)]"
maduro,"[(1, 3), (6, 4), (24, 8), (34, 2), (66, 1), (100, 1), (111, 1), (134, 4), (135, 9), (136, 8), (138, 8), (140, 12), (141, 7), (143, 2), (145, 6), (146, 5), (147, 3), (152, 4), (153, 9), (154, 9), (156, 3), (220, 2), (261, 3)]"
sofre,"[(1, 1), (32, 1), (84, 1), (153, 1), (154, 1)]"
crise,"[(1, 4), (4, 1), (6, 2), (19, 2), (24, 1), (25, 1), (26, 3), (30, 1), (34, 3), (42, 1), (53, 3), (78, 2), (89, 2), (114, 1), (126, 2), (127, 1), (131, 1), (134, 1), (136, 3), (140, 2), (143, 1), (145, 1), (150, 2), (152, 1), (153, 3), (154, 3), (156, 3), (160, 1), (170, 1), (172, 1), (176, 1), (186, 1), (187, 3), (195, 1), (196, 1), (206, 3), (214, 1), (220, 2), (225, 1), (245, 2)]"
política,"[(1, 2), (15, 5), (16, 3), (18, 1), (24, 1), (25, 1), (26, 1), (29, 1), (32, 1), (34, 2), (52, 2), (53, 3), (61, 1), (63, 3), (66, 8), (68, 8), (72, 1), (74, 2), (76, 2), (77, 3), (91, 1), (96, 1), (100, 5), (105, 1), (111, 3), (113, 2), (117, 1), (118, 3), (121, 3), (129, 1), (133, 8), (135, 1), (136, 1), (139, 1), (140, 1), (141, 1), (143, 1), (144, 1), (150, 2), (152, 3), (153, 2), (154, 2), (156, 4), (174, 1), (179, 6), (181, 1), (183, 1), (187, 1), (192, 1), (205, 3), (207, 1), (210, 1), (218, 6), (220, 3), (225, 1), (228, 2), (231, 1), (232, 2), (235, 3), (237, 1), (240, 2), (242, 1), (245, 1), (247, 1), (249, 4), (254, 2), (261, 2), (262, 1), (267, 1), (269, 1), (272, 1)]"
